GENESIS-Tabelle: 12211-0042
Bevölkerung (ab 15 Jahren): Bundesländer, Jahre, Geschlecht,;;;;;;;;;;
Allgemeine Schulausbildung;;;;;;;;;;
Mikrozensus;;;;;;;;;;
Bevölkerung (ab 15 Jahren) (1000);;;;;;;;;;
;;;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung;Allgemeine Schulausbildung
;;;Noch in schulischer Ausbildung;Haupt- (Volks-)schulabschluss;Abschluss der polytechnischen Oberschule;Realschule oder gleichwertiger Abschluss;Fachhochschul- oder Hochschulreife;Ohne Angabe zur Art des Abschlusses;Ohne allgemeinen Schulabschluss;Insgesamt
2017;männlich;Baden-Württemberg;179;1609;40;995;1642;/;182;4663
2017;männlich;Bayern;178;2235;52;1098;1750;8;153;5490
2017;männlich;Berlin;54;221;140;286;720;/;77;1498
2017;männlich;Brandenburg;37;135;362;185;303;/;32;1055
2017;männlich;Bremen;12;71;/;67;115;/;19;287
2017;männlich;Hamburg;26;153;7;155;362;/;43;757
2017;männlich;Hessen;105;756;18;605;1009;5;111;2615
2017;männlich;Mecklenburg-Vorpommern;19;93;259;121;170;/;16;680
2017;männlich;Niedersachsen;131;1101;35;932;1007;9;136;3359
2017;männlich;Nordrhein-Westfalen;332;2532;45;1465;2696;6;413;7494
2017;männlich;Rheinland-Pfalz;69;669;12;357;549;/;70;1729
2017;männlich;Saarland;16;176;/;86;128;/;17;426
2017;männlich;Sachsen;46;274;541;332;492;/;35;1721
2017;männlich;Sachsen-Anhalt;30;143;377;159;203;/;27;946
2017;männlich;Schleswig-Holstein;53;405;10;305;384;/;39;1207
2017;männlich;Thüringen;23;139;359;151;226;/;14;913
2017;weiblich;Baden-Württemberg;172;1526;43;1353;1411;/;201;4722
2017;weiblich;Bayern;166;2164;54;1525;1515;9;170;5610
2017;weiblich;Berlin;47;226;166;330;711;-;83;1564
2017;weiblich;Brandenburg;33;155;395;174;301;/;28;1087
2017;weiblich;Bremen;8;73;/;82;111;/;17;294
2017;weiblich;Hamburg;25;165;7;188;359;/;45;799
2017;weiblich;Hessen;105;741;24;773;924;/;117;2693
2017;weiblich;Mecklenburg-Vorpommern;20;97;280;117;166;/;18;700
2017;weiblich;Niedersachsen;121;1094;39;1110;913;9;131;3423
2017;weiblich;Nordrhein-Westfalen;309;2567;57;1826;2564;/;463;7797
2017;weiblich;Rheinland-Pfalz;69;661;13;473;486;/;72;1778
2017;weiblich;Saarland;14;185;/;110;115;/;15;441
2017;weiblich;Sachsen;45;362;569;310;449;/;30;1765
2017;weiblich;Sachsen-Anhalt;26;179;402;142;205;2;22;983
2017;weiblich;Schleswig-Holstein;48;387;14;413;344;/;39;1261
2017;weiblich;Thüringen;25;173;373;135;211;-;12;930
2017;Insgesamt;Baden-Württemberg;351;3135;82;2348;3054;9;383;9385
2017;Insgesamt;Bayern;344;4398;106;2623;3265;17;323;11100
2017;Insgesamt;Berlin;101;447;306;616;1431;/;160;3062
2017;Insgesamt;Brandenburg;70;289;757;360;605;/;60;2142
2017;Insgesamt;Bremen;20;144;/;149;227;/;36;581
2017;Insgesamt;Hamburg;51;318;14;343;721;9;88;1555
2017;Insgesamt;Hessen;211;1497;43;1378;1934;9;228;5308
2017;Insgesamt;Mecklenburg-Vorpommern;39;190;539;237;336;/;34;1380
2017;Insgesamt;Niedersachsen;252;2195;74;2042;1920;18;267;6782
2017;Insgesamt;Nordrhein-Westfalen;641;5099;102;3292;5261;11;876;15291
2017;Insgesamt;Rheinland-Pfalz;138;1330;25;831;1034;/;142;3507
2017;Insgesamt;Saarland;29;361;/;197;243;/;33;868
2017;Insgesamt;Sachsen;91;636;1111;642;941;/;65;3486
2017;Insgesamt;Sachsen-Anhalt;56;322;779;301;407;/;50;1929
2017;Insgesamt;Schleswig-Holstein;101;792;24;718;728;6;78;2468
2017;Insgesamt;Thüringen;48;312;732;287;437;/;26;1843
__________
"Ohne allgemeinen Schulabschluss:
Einschließlich Personen mit Abschluss nach höchstens 7
Jahren Schulbesuch.

Allgemeine Schulausbildung ""Insgesamt"":
Einschließlich Personen, die keine Angaben zur
allgemeinen Schulausbildung gemacht haben.

Ab 2013:
Hochrechnung anhand der Bevölkerungsfortschreibung auf
Basis des Zensus 2011.

Ab 2016:
Aktualisierte Auswahlgrundlage der Stichprobe auf Basis des
Zensus 2011.

Ab 2017:
Ohne Bevölkerung in Gemeinschaftsunterkünften."
(C)opyright Statistisches Bundesamt (Destatis), 2020
Stand: 03.02.2020 / 18:02:46
